요구사항ID,요구사항명,요구사항 정의,릴리스,우선순위,복잡도,세부내용·처리규칙,관련요구사항,산출물,근거·외부의존성,검증기준(인수조건),언제 실행되나 (시점·주기),어떻게 만드나 (구현 힌트),최종 변경·비고
FGC-FUN-036,현행 예상 수입·지급 스케줄 생성,2026년 현재 회사별 지급방식에 따라 계약 1건의 회차별 예상 스케줄을 생성해야 한다. 이는 2027년부터 시행되는 법정 4년·7년 분급과 구분되는 기존 회사별 분할지급 계획이다.,1차,M,상,"① 원수사→GA 예상 수입 스케줄과 ② GA→설계사 예상 지급 스케줄을 별도 방향으로 생성한다. 각 행은 지급예정일, 회차, 수수료 항목(기본수수료·시책·지원금 등), 기준금액, 요율/정액, 예상금액, 지급조건, 정책버전, 방향을 가진다. 원수사 자료와 GA 내부 규정은 정규화되어 DB에 이미 적재된 것으로 전제한다. 실제 송금은 수행하지 않는다.","FGC-FUN-011,FGC-FUN-018,FGC-FUN-065",현행스케줄설계서/ERD/API명세서/단위테스트,"SRC-003,SRC-004,SRC-008,SRC-010,특허 KR20110049433A·KR20120105601A","샘플 계약에서 원수사→GA와 GA→설계사 스케줄이 서로 구분되어 생성되고, 각 회차 금액·총액이 시드 정책의 기대값과 일치한다. 적용 정책이 없거나 복수이면 생성하지 않고 REVIEW_REQUIRED로 표시한다.",계약 확정 시 또는 사용자가 재계산 버튼을 누를 때(실시간). 월 검증 실행 전에 일괄 재생성할 수 있다.,Spring MVC/MyBatis 기반 ScheduleGenerator 도메인 서비스. 정책을 입력으로 받아 결정론적으로 같은 결과를 만들고 BigDecimal을 사용한다. 생성결과에는 schedule_version과 policy_version을 저장한다.,v2.2: 예전부터 존재한 회사별 회차 지급스케줄을 1차 핵심기능으로 복원
FGC-FUN-037,4년 법정 분급 스케줄 생성,2027~2028년 적용 룰셋에서는 동일한 스케줄 엔진으로 최대 4년의 법정 분급 스케줄을 생성해야 한다.,2차,M,상,"REG-19 적용례를 충족하는 상품에 대해 계약체결비용과 유지관리수수료 정책, 회차 수, 월 한도율, 매월 동일 금액 조건과 지급조건을 데이터로 적용해 최대 48개월 스케줄을 생성한다. 상품 판매개시일·기초서류 버전·채널·적용 수수료체계를 기준으로 4년 룰셋을 선택하며, 1차의 방향·버전·원장·대사 구조와 초년도 1,200% 엔진을 재사용한다.","FGC-FUN-014,FGC-FUN-030,FGC-FUN-033,FGC-FUN-036,FGC-FUN-062,FGC-FUN-064",4년분급설계서/ERD/배치설계서/Golden Test,"SRC-001,SRC-003,SRC-014,REG-03,REG-04,REG-19",4년 적용 상품 샘플에서 최대 48개월의 동일 월금액 스케줄과 총액이 정책값과 일치한다. 단순 계약연도만 같고 상품버전·채널이 다른 경계샘플은 잘못된 4년 룰셋으로 자동 확정되지 않는다.,"계약 확정·정책 적용 시 실시간 생성하고, 계약상태·정책 변경 또는 월 배치에서 재평가한다.",2차 JPA/QueryDSL로 스케줄 집합을 저장하고 Spring Batch로 일괄 생성·재평가한다. 1차 ScheduleGenerator 인터페이스를 유지하고 룰셋 전략만 추가한다.,v2.2.1: REG-19 적용례·매월 동일 금액 검증 추가
FGC-FUN-038,7년 법정 분급·장기유지 스케줄 생성,2029년 이후 적용 룰셋에서는 동일한 스케줄 엔진으로 최대 7년의 분급과 5~7년차 장기유지관리수수료 스케줄을 생성해야 한다.,2차,M,상,"REG-19 적용례를 충족하는 상품에 대해 최대 84개월의 동일 월금액 유지관리수수료와 5~7년차 장기유지관리수수료 행을 정책 데이터로 생성한다. 상품 판매개시일·기초서류 버전·채널·적용 수수료체계를 기준으로 7년 룰셋을 선택하고, 1차의 방향·버전·원장·대사 구조와 초년도 1,200% 엔진을 재사용한다. 계약상태와 유지관리 담당자 유효성에 따라 미래 회차를 보류·재개·수령인 변경할 수 있어야 한다.","FGC-FUN-010,FGC-FUN-014,FGC-FUN-025~029,FGC-FUN-030,FGC-FUN-033,FGC-FUN-036,FGC-FUN-062,FGC-FUN-064",7년분급설계서/상태전이도/배치설계서/회귀테스트,"SRC-001,SRC-003,SRC-014,REG-03,REG-05,REG-19","7년 적용 상품 샘플에서 최대 84개월의 동일 월금액 스케줄과 장기유지 회차가 정책값대로 생성된다. 상품버전·채널 경계사례는 REVIEW_REQUIRED로 구분되고 초년도 1,200% 및 유지조건을 통과한 회차만 확정된다.",계약 확정·월 배치·계약상태 또는 담당설계사 변경 시 재평가한다.,4년과 같은 ScheduleGenerator 인터페이스에 7년 룰셋 전략을 추가한다. 기간·요율·조건을 코드 상수가 아니라 정책 데이터로 전달한다.,v2.2.1: REG-19 적용례·7년 동일 월금액 조건 반영
FGC-FUN-039,스케줄 상태·조정·버전 관리,"예상 스케줄의 상태와 변경버전을 관리하고, 이미 확정된 회차를 덮어쓰지 않은 채 미래 회차만 조정해야 한다.",1차,M,상,1차는 PLANNED(예정)·CONFIRMED(확정)·MATCHED(대사일치)·ADJUSTED(조정) 상태와 재계산 버전을 관리한다. 정책·계약 변경 시 기존 스케줄을 삭제하지 않고 새 버전을 만든다. 2차는 계약상태에 따라 HOLD(보류)·CANCELLED(취소)·RESTARTED(재개) 상태를 추가한다.,"FGC-FUN-012,FGC-FUN-036~038",상태전이도/스케줄조정설계서/ERD/테스트케이스,"SRC-004,SRC-005",재계산 전·후 스케줄 버전이 모두 조회되고 확정된 과거 회차는 자동 덮어쓰기 되지 않는다. 2차에서는 실효·해지·부활 이벤트가 미래 회차 상태에만 반영된다.,"계약·정책 변경, 명세 대사, 계약상태 이벤트 발생 시.",schedule_header에 버전과 상태를 두고 schedule_line은 불변에 가깝게 관리한다. 변경은 새 버전·조정행 생성으로 처리한다.,"v2.2: 1차 현행 스케줄부터 버전·상태 관리, 2차 상태이벤트 확장"
FGC-FUN-040,스케줄 생성 멱등성,같은 계약·정책으로 스케줄 생성을 두 번 돌려도 중복이 생기면 안 된다(멱등성: 재실행해도 결과가 같음).,1차,M,상,"계약ID+스케줄방향+정책버전+수수료항목+회차+스케줄버전의 업무키를 적용해 같은 입력을 재실행해도 중복 행이 생기지 않게 한다. 이 원칙은 현행, 4년, 7년 스케줄 모두에 적용한다.",FGC-FUN-036~039,배치설계서/멱등성테스트결과서,"SRC-004,SRC-005","현행 스케줄 생성 요청을 두 번 실행해도 두 번째 신규 생성건수는 0건이고, 2차 4년·7년 룰셋에서도 같은 테스트가 통과한다.",모든 스케줄 생성·재생성 실행 시.,"1차 PostgreSQL UNIQUE 제약과 서비스 멱등키를 적용하고, 2차 JPA/Spring Batch에서도 같은 업무키를 유지한다.",v2.2: 현행 예상 스케줄이 1차에 포함되므로 멱등성도 1차로 이동
FGC-FUN-041,월 규제·정산 검증 실행 생성,"대상월의 계약·예상 스케줄·지급 건·실제 명세·보험료·해약환급금 스냅샷을 하나의 실행 단위로 묶어 1,200%룰, 원장대사, 차익거래를 검증해야 한다.",1차,M,상,"1차는 사용자가 월을 선택해 수동 실행한다. 실행은 CREATED→RUNNING→COMPLETED/FAILED→CONFIRMED 상태를 가지며 실제 수수료 송금이나 공식 회계마감은 하지 않는다. 실행 스냅샷에는 지급단계별 1,200% 룰셋, 상품 적용 수수료체계, 예상 해약환급률표 버전과 80% 공제 플래그를 저장한다. 2차는 같은 실행구조를 Spring Batch와 4년·7년 룰셋으로 확장한다.","FGC-FUN-030~033,FGC-FUN-036,FGC-FUN-048,FGC-FUN-063,FGC-FUN-065",배치설계서/화면정의서/API명세서,"SRC-004,SRC-005,SRC-014,REG-23","동일 대상월의 활성 실행 중복이 차단되고 실행상세에 1,200%·대사·차익거래 결과와 함께 사용한 룰셋·예상 해약환급률표 버전이 표시된다.",월말·원수사 실제 명세 적재 후 또는 발표 데모에서 사용자가 버튼을 누를 때.,1차는 서비스 오케스트레이터가 단계별 검증기를 호출하고 실행ID로 결과를 묶는다. 2차는 Spring Batch Job/Step으로 마이그레이션한다.,v2.2.1: REG-23 원천표 버전 스냅샷 추가
FGC-FUN-042,검증 대상 계약·스케줄·명세 선별,"월 검증 실행에서 처리할 계약, 예상 스케줄, 지급 건, 실제 명세, 보험료·해약환급금 스냅샷을 기준일과 상태에 맞게 선별해야 한다.",1차,M,상,중복·취소·검증대상 아님을 구분하고 동일 원천행이 한 실행에 두 번 포함되지 않게 한다. 상품코드·납입기간·판매채널·기준일에 맞는 예상 해약환급률표 버전을 선택하며 상품코드 불일치·표 누락·중복은 REVIEW_REQUIRED 예외로 분리한다. 1차는 정규화 시드 데이터를 사용하고 2차는 계약상태와 4년·7년 스케줄 상태를 추가 반영한다.,"FGC-FUN-012,FGC-FUN-036,FGC-FUN-041,FGC-FUN-048,FGC-FUN-063,FGC-FUN-065",업무규칙서/배치설계서,"SRC-005,SRC-014,REG-23","합성 데이터의 대상·제외·중복 건수가 기대값과 일치하고, 올바른 환급률표 버전이 연결된다. 상품코드 불일치·표 누락·중복 샘플은 계산에서 제외되고 예외로 생성된다.",월 검증 실행 시작 시 자동.,검증 실행ID와 원천 업무키에 UNIQUE 제약을 두고 선별 쿼리를 검증기별로 분리한다.,v2.2.1: 예상 해약환급률표 선별·코드 정합성 추가
FGC-FUN-043,규제·대사 결과 집계,"실행별로 1,200% 판정, 스케줄 생성상태, 원장 균형, 대사결과, 차익거래 후보를 집계하고 계약별 상세와 합계가 일치해야 한다.",1차,M,상,"집계는 규제판정과 업무지표를 섞지 않는다. 1,200%는 계약별 NORMAL/WARNING/VIOLATION/REVIEW_REQUIRED, 대사는 MATCHED/MISMATCHED/UNMATCHED, 차익거래는 CLEAR/CANDIDATE/REVIEW_REQUIRED로 구분한다.","FGC-FUN-030~033,FGC-FUN-036,FGC-FUN-042,FGC-FUN-046~052,FGC-FUN-063",계산명세서/공통개발표준/단위테스트,"SRC-004,SRC-005",상세 건수·금액 합계가 실행 요약과 정확히 일치하고 설계사·조직 합계가 계약별 규제판정을 덮어쓰지 않는다.,각 검증 단계 완료 후 자동.,검증별 결과테이블을 분리하고 실행 요약은 SQL 집계로 계산한다. 화면에 쓰기 위해 결과를 임의로 복제하지 않는다.,v2.2: 결과집계 범위를 스케줄·원장대사·차익거래까지 확대
FGC-FUN-044,검증 결과 확정·잠금,담당자가 월 검증 결과를 검토한 뒤 확정하여 당시 룰셋과 계산근거를 잠가야 한다.,1차,M,중,"검증 완료 실행을 확정하면 대상·정책버전·스케줄버전·1,200% 결과·대사결과·차익거래 결과를 잠근다. 원천 오류를 고칠 때는 확정 실행을 직접 수정하지 않고 새 실행을 생성한다. 이는 검증결과 잠금이며 실제 송금·법정 회계마감이 아니다.","FGC-FUN-041~043,FGC-FUN-046~052,FGC-FUN-063",화면정의서/업무흐름도,SRC-006,확정 실행의 결과행은 수정·삭제되지 않고 동일 월 재검증은 새 실행번호로 생성되어 이전 결과와 비교할 수 있다.,검증 계산이 끝난 뒤 담당자가 화면에서 결과를 검토하고 확정한다(수동).,run 상태 FINALIZED + 결과행 불변 처리. 지급 건 자체를 CONFIRMED로 일괄 변경하지 않는다.,v2.2: 통합 규제·대사 결과의 재현 가능한 잠금으로 확대
FGC-FUN-045,배치 실패 후 재시작,"정산 배치가 중간에 죽어도, 이미 처리한 건은 건너뛰고 실패 지점부터 다시 돌릴 수 있어야 한다.",2차,M,상,예: 30건 중 25번째 실패 → 재시작 → 최종 30건이 각 1회씩만 처리(중복 0건).,"FGC-FUN-041,FGC-FUN-042,FGC-FUN-040",배치설계서/재시작테스트결과서,"SRC-004,SRC-005",30건 중 25번째 실패 시 재시작 후 최종 30건이 1회씩만 처리되고 중복 0건이다.,배치 실패 발생 시(운영 이벤트).,1차 Spring Batch는 멱등키·UNIQUE 제약으로 전체 재실행 시 중복을 방지한다. 2차에는 Spring Batch 메타데이터와 청크 체크포인트를 활용해 실패 지점 재시작을 구현한다.,v2.2.2: Spring Batch 도입 시점은 1차로 정정. 실패 지점 재시작은 2차 유지
FGC-FUN-046,복식부기 검증원장 기록,예상 스케줄과 실제 명세·확정 지급 건을 차변과 대변 합계가 항상 같은 복식부기 방식의 FGC 내부 검증용 보조원장에 기록해야 한다.,1차,M,상,"이 원장은 GA의 법정 회계장부나 실제 은행송금 장부가 아니라 정산검증을 위한 보조원장이다. 분개헤더와 분개상세를 분리하고 원천유형(EXPECTED_INSURER_INCOME, ACTUAL_INSURER_STATEMENT, EXPECTED_FC_PAYOUT, CONFIRMED_FC_PAYOUT, ADJUSTMENT, CLAWBACK), 계약, 스케줄, 명세, 정책버전을 연결한다. 기존 분개는 삭제·직접수정하지 않는다.","FGC-FUN-036,FGC-FUN-039,FGC-FUN-043,FGC-FUN-044,FGC-FUN-065",복식부기원장설계서/계정과목정의서/ERD/API명세서/테스트결과서,"SRC-004,SRC-005,팀 내부통제 설계",각 분개번호의 차변합계와 대변합계가 일치하지 않으면 저장·확정이 거절된다. 예상·실제 원천에서 분개까지 추적할 수 있고 기존 분개행의 물리 삭제가 차단된다.,"예상 스케줄 생성, 실제 명세 적재 확인, 지급 건 확정, 정정·환수 처리 시 자동.",journal_header/journal_line 구조와 계정과목 시드를 사용한다. 서비스 트랜잭션에서 균형을 검사하고 PostgreSQL 제약·권한으로 직접 UPDATE/DELETE를 제한한다. 금액은 BigDecimal/DECIMAL.,"v2.2: 1차 핵심으로 이동, 단순 원장에서 복식부기 검증용 보조원장으로 구체화"
FGC-FUN-047,원장 정정·역분개 처리,확정된 원장의 오류는 원거래를 직접 수정하지 않고 반대 분개(역분개)와 올바른 신규 분개를 추가해 바로잡아야 한다.,1차,M,상,"원거래ID, 정정사유, 처리자, 정정 전후 금액을 연결한다. LEDG-W01의 정정 요청은 원분개를 참조하는 JOURNAL_CORRECTION_REQUIRED 예외를 생성하거나 기존 미종결 예외를 재사용한 뒤 EXCP-W01로 이동한다. 1차는 기본 역분개와 재기표를 구현하고, 2차는 승인자 분리·마감재개·환수 상계 흐름으로 확장한다.","FGC-FUN-046,FGC-FUN-052,FGC-FUN-053",원장정정설계서/업무규칙서/테스트결과서,팀 내부통제 설계,"역분개와 재기표 후 순액이 기대값과 일치하고 원거래·역분개·신규분개가 하나의 정정그룹으로 조회된다. 원장 정정 예외는 실제 reverseAndRepost 성공과 같은 트랜잭션에서만 RESOLVED가 되며 처리이력만 저장해서 종결할 수 없다. 원거래 직접 수정은 차단된다.",명세 오류·정책 오류·지급 건 정정 발견 시 수동 요청 후 처리.,원분개를 참조하는 반대 방향 분개와 신규 분개를 하나의 트랜잭션으로 INSERT한다. 수정 API 대신 예외 연계 reverseAndRepost 명령을 제공하고 기존 journal_correction_group과 exception_case를 재사용한다.,v2.2: 복식부기 원장 정합성을 위해 기본 역분개를 1차에 포함 · 2026-08-20: LEDG-W01→EXCP-W01 정정 예외 연계와 성공 시 종결 원칙 명시
FGC-FUN-048,예상 스케줄·실제 명세 원장 대사,예상 스케줄과 실제로 적재된 명세·확정 지급 건을 계약·설계사·항목·회차·방향 기준으로 맞춰 보고 원장 금액과 일치하는지 검증해야 한다.,1차,M,상,① 원수사→GA 예상 수입 스케줄과 원수사 실제 지급명세를 대사하고 ② GA→설계사 예상 지급 스케줄과 FGC에 등록·확정된 지급 건을 대사한다. 정확일치·금액차이·누락·중복·상대방/회차 불일치·미매칭으로 구분한다. 입력은 정규화되어 DB에 적재된 데이터를 사용하며 파일 업로드는 하지 않는다.,"FGC-FUN-036,FGC-FUN-039,FGC-FUN-046,FGC-FUN-065",대사설계서/매칭키정의서/ERD/API명세서/테스트결과서,"SRC-004,SRC-005,SRC-010","합성 데이터에서 정상·누락·중복·금액차이·설계사/회차 불일치 건수가 기대값과 일치하고, 대사결과 금액이 해당 예상·실제 분개와 추적 연결된다.",원수사 실제 명세가 DB에 적재된 뒤 또는 월 검증 실행 시. 필요하면 계약 단위 수동 재실행.,1차는 MyBatis SQL 조인과 서비스 배치로 구현하고 매칭키는 계약번호+방향+설계사/조직+항목+회차를 기본으로 한다. 2차에는 Spring Batch로 마이그레이션한다.,v2.2: 현행 예상 스케줄 검증에 필수이므로 1차로 이동
FGC-FUN-049,대사 불일치 유형 분류,"대사 결과의 불일치를 원인별(누락, 중복, 금액 차이, 설계사 불일치, 해지계약 지급, 정책버전 오류)로 자동 분류해야 한다.",1차,M,상,"불일치를 누락, 중복, 금액차이, 설계사/조직 불일치, 회차 불일치, 해지·비유효 계약 지급, 정책버전 오류, 원장 불균형으로 분류한다. 한 건에 원인이 여러 개면 주원인과 보조원인을 나눠 기록한다.","FGC-FUN-046,FGC-FUN-048",대사규칙서/예외분류체계,"SRC-004,SRC-005",합성 오류 데이터가 정의된 유형으로 자동 분류되고 미분류 건은 UNKNOWN/REVIEW_REQUIRED로 남아 사람이 확인할 수 있다.,대사 실행 내부 단계.,유형판정 규칙을 순서 있는 정책 객체로 분리하고 유형별 Golden Test를 만든다.,"v2.2: 대사 핵심기능으로 1차 이동, 원장 불균형 유형 추가"
FGC-FUN-050,대사 허용오차 관리,금액·날짜·회차를 비교할 때 어느 정도 차이까지 봐줄지(허용오차)를 보험회사·항목별로 설정해야 한다.,1차,S,중,1차 기본값은 0원 정확일치로 고정하고 날짜·회차도 정확히 비교한다. 데모 데이터에서 불가피한 반올림 차이는 별도 근거가 있는 항목만 시드 정책으로 허용한다. 2차에는 보험회사·항목·적용기간별 절대금액 또는 비율 허용오차를 관리한다.,"FGC-FUN-012,FGC-FUN-048",대사규칙서/화면정의서,SRC-005,"1차에서 1원 차이도 금액차이로 분류되며, 2차 정책 허용오차가 활성화되면 범위 이내는 경고 또는 일치로 판정된다.",1차는 대사 실행 때 고정정책 적용. 2차는 정책 설정 후 대사 배치에서 적용.,판정 인터페이스는 처음부터 TolerancePolicy를 받도록 만들되 1차 구현체는 ZeroTolerancePolicy로 한다.,"v2.2: 1차 0원 정확일치로 포함, 2차 정책화"
FGC-FUN-051,대사 실행 이력 조회,"대사 실행별 대상 기간, 처리 건수, 일치율, 불일치 금액과 상태를 조회해야 한다.",1차,S,중,"실행별 대상기간, 방향, 처리건수, 일치율, 불일치 금액, 오류상태, 재실행 이력을 조회한다. 관련 월 검증 실행·예외·원장 분개로 이동할 수 있어야 한다.","FGC-FUN-041,FGC-FUN-046,FGC-FUN-048",화면정의서/API명세서,SRC-006,대사 실행 목록과 상세의 건수·금액이 일치하고 계약·예외·분개 상세로 추적할 수 있다.,상시 조회.,"1차 Thymeleaf 목록·상세와 조회 API, 2차 React 화면과 Spring Batch 메타데이터로 확장.",v2.2: 대사 실행 추적을 1차로 이동
FGC-FUN-052,불일치 예외 자동 생성,대사 불일치와 규정 위반 후보를 중복 없이 예외 건으로 만들어야 한다.,1차,M,상,"1,200% 위반, 대사 불일치, 원장 불균형, 차익거래 후보를 원천 실행·계약·스케줄·명세행·분개·정책버전과 연결된 예외 건으로 만든다. 원장 화면에서 정정을 요청하면 source_entity_type=JOURNAL_HEADER와 source_entity_id=원분개ID인 JOURNAL_CORRECTION_REQUIRED 예외를 생성하거나 기존 미종결 건을 재사용한다. 동일 원천·유형의 예외는 재실행하거나 버튼을 다시 눌러도 중복 생성하지 않는다.","FGC-FUN-034,FGC-FUN-046,FGC-FUN-047,FGC-FUN-049,FGC-FUN-063",예외처리설계서/ERD,SRC-005,"동일 검증결과를 다시 실행하거나 같은 원분개의 정정 요청을 반복해도 예외가 중복 생성되지 않고 기존 미종결 예외가 반환된다.",각 검증 단계가 위반·불일치·후보를 확정할 때 자동. 원장 정정 요청은 LEDG-W01에서 수동.,예외 업무키(원천유형+원천ID+예외유형+규칙버전) UNIQUE 제약과 upsert/조회 연결을 사용한다.,v2.2: 1200%·대사·원장·차익거래 공통 예외로 1차 확대 · 2026-08-20: 원장 정정 요청의 멱등 예외 생성 명시
FGC-FUN-053,예외 처리 워크플로,"1,200% 위반, 대사 불일치, 원장 오류, 차익거래 후보를 담당자가 검토하고 근거와 조치결과를 남기는 예외 처리 흐름을 제공해야 한다.",1차,M,상,"기본 상태 NEW(신규)→IN_REVIEW(검토중)→RESOLVED(해결)/REJECTED(오탐·반려)를 사용하고 담당자, 처리사유, 근거링크, 조치유형을 필수 기록한다. JOURNAL_CORRECTION_REQUIRED의 CORRECT 조치는 원분개 역분개와 재기표를 실제 수행하며 성공 결과 ID를 처리이력에 연결한다. 1차는 간단한 담당·상태·사유 처리, 2차는 SLA(처리기한), 알림, 승인단계를 추가한다.","FGC-FUN-034,FGC-FUN-047,FGC-FUN-052,FGC-FUN-061",업무흐름도/화면정의서/권한매트릭스,"SRC-005,SRC-006","예외 상태를 바꿀 때 처리사유가 없으면 저장되지 않는다. 원장 정정 예외는 역분개와 재기표가 모두 성공한 경우에만 같은 트랜잭션에서 RESOLVED가 되며 원분개·역분개·재기표·정정그룹을 추적할 수 있다. 정정 실패 시 예외 상태와 처리이력도 함께 롤백된다.",예외가 생성된 뒤 담당자가 상시 처리.,1차 MyBatis 상태전이 검증과 Thymeleaf 목록·상세. 상태변경은 허용 전이표를 서버에서 검사하고 감사로그를 남긴다. 원장 정정 CORRECT는 JournalCorrectionService.reverseAndRepost를 호출한 뒤 성공 결과와 함께 상태를 전이한다.,v2.2: 1차의 1200%·대사·차익거래 예외 처리를 위해 1차로 이동 · 2026-08-20: 원장 정정 CORRECT의 실제 도메인 명령 및 원자성 명시
FGC-FUN-054,환수 검토 대상 생성,계약 해지·실효·청약철회나 차익거래 검증(FUN-063)에 걸리면 환수(이미 준 돈 되돌려 받기) 검토 대상을 만들어야 한다.,2차,S,상,후보와 근거(기지급액·미지급액)를 생성한다. 실제 환수 공식은 회사별 정책 파라미터임을 표시한다(REG-14 ? 규정이 아니라 위촉계약 영역).,"FGC-FUN-028,FGC-FUN-046",환수업무규칙서/화면정의서,"SRC-001,SRC-004,SRC-005,REG-13",해지 이벤트 발생 시 관련 기지급액과 미지급액을 근거로 환수검토 건이 생성된다.,해지 등 이벤트 발생 시 자동(실시간) 또는 일 배치.,"2차. 이벤트 → 환수검토 테이블 INSERT. 환수율 표는 GA별 설정 데이터로(KIRI·실물 표 시드, SRC-017·020·021).",1차→2차 이동 ? 1차는 지급 건 보류(FUN-028)까지만
FGC-FUN-055,정책별 환수액 계산,보험회사·상품·경과 회차별 환수 규칙을 적용해 환수액을 계산해야 한다.,2차,S,상,고정 공식이 아니라 정책버전·경과회차·기지급액을 입력으로 계산한다.,"FGC-FUN-012,FGC-FUN-054",환수계산명세서/단위테스트/Golden Test,"SRC-004,SRC-005,REG-14",합의된 환수 예시의 기대금액과 시스템 결과가 일치하고 적용 정책버전이 표시된다.,환수 검토 건 확정 시(실시간) 또는 배치.,2차. 환수율 테이블(경과월 구간별 %) 조회 × 기지급액. 합의된 예시 케이스로 골든 테스트.,
FGC-FUN-056,환수 통지·이의·확정·상계 관리,환수 건의 진행 상태(통지→이의→확정)와 상계(다음에 줄 돈에서 빼기) 내역을 관리해야 한다.,2차,C,상,"통지일, 이의제기, 확정액, 상계 회차, 잔액과 증빙을 기록한다.","FGC-FUN-053,FGC-FUN-055",업무흐름도/화면정의서/원장설계서,"SRC-004,SRC-005",확정된 환수액이 향후 지급액에서 정책에 따라 상계되고 잔액이 추적된다.,담당자 조작 + 정산 시 상계 자동 반영.,2차. 상태 관리 + 정산 집계에서 환수 잔액 차감 로직.,
FGC-FUN-057,업무 대시보드,담당자가 첫 화면에서 핵심 현황을 한눈에 봐야 한다.,1차,S,중,"1차 선택 화면으로 당월 계약별 1,200% 사용량, 스케줄 생성실패, 대사 불일치, 차익거래 후보, 미처리 예외를 요약한다. 규제판정의 원본은 각 상세화면이며 대시보드 수치는 집계 조회만 한다.","FGC-FUN-032,FGC-FUN-036,FGC-FUN-044,FGC-FUN-048,FGC-FUN-052,FGC-FUN-063",화면정의서/API명세서,"SRC-004,SRC-005",대시보드의 건수·금액이 검증 실행·대사·예외 상세 합계와 일치하고 항목 클릭 시 해당 목록으로 이동한다.,상시 조회(로그인 직후 첫 화면).,집계 쿼리 4~5개 + 카드형 화면. KPI 숫자 클릭 시 해당 목록으로 이동(필터 전달).,v2.2: 1차 스케줄·대사·차익거래 요약 반영
FGC-FUN-058,통합 검색 및 상세 조회,계약·설계사·정산·예외 정보를 조건으로 검색할 수 있어야 한다.,2차,S,중,"기간, 보험회사, 상품, 조직, 설계사, 상태, 금액범위 필터와 페이징(쪽 나눔)을 제공한다. (대사·환수 검색은 2차)","FGC-FUN-018,FGC-FUN-041,FGC-FUN-034",화면정의서/API명세서,SRC-006,2차 통합검색에서 계약·설계사·검증실행·예외를 교차 조회한다. 1차는 각 목록 화면의 기본 필터만 제공한다.,상시 조회.,검색 폼 + MyBatis 동적 SQL(if 태그로 조건 조립) + 페이징 쿼리.,v2.1: 전용 통합검색 2차 이관
FGC-FUN-059,정산·대사 보고서 출력,정산·대사 결과를 Excel 또는 PDF 보고서로 내려받을 수 있어야 한다.,2차,S,중,"검색조건, 생성일, 생성자, 합계, 상세, 정책 기준을 포함한다. 계약자 개인정보는 저장하지 않으므로 출력물에 포함되지 않는다(계약번호 식별, SRC-027 D-05).","FGC-FUN-044,FGC-FUN-051",보고서정의서/출력샘플,"SRC-005,SRC-006,SRC-027",화면 합계와 출력물 합계가 일치하고 출력물에 계약자 개인정보가 포함되지 않는다.,사용자가 출력 버튼을 누를 때(실시간 생성).,2차. Apache POI(엑셀 생성 라이브러리) 등 활용.,
FGC-FUN-060,설계사 수수료 명세 조회,설계사가 본인 수수료 명세(회차별 지급·보류·조정·환수)와 계산 근거를 직접 볼 수 있어야 한다.,2차,S,상,본인 것만 조회 가능(권한 분리). 관리자는 전체 조회.,"FGC-FUN-036,FGC-FUN-046,FGC-FUN-055",화면정의서/권한매트릭스,"SRC-001,SRC-005,REG-17",설계사 계정은 본인 명세만 조회하고 계약·항목·회차·상태·근거가 표시된다.,상시 조회.,2차 React. 로그인 사용자=설계사 매핑으로 조회 범위 제한.,
FGC-FUN-061,핵심 업무 감사로그,누가 언제 무엇을 바꿨는지(룰셋·계약·지급 건·검증 실행·예외·권한) 기록을 남겨야 한다.,1차,M,상,"누가 언제 무엇을 바꿨는지(룰셋·계약·지급 건·검증 실행·예외·권한)와 함께 정책버전, 지급단계, 포함·제외 판단, 정착지원금 귀속, 공통비 배부정책, 승인근거를 기록한다. 1차 범위 밖인 환수 워크플로는 2차에 추가한다.","FGC-FUN-002,FGC-FUN-012,FGC-FUN-033,FGC-FUN-044,FGC-FUN-065",감사설계서/ERD/테스트결과서,"SRC-005,SRC-006,SRC-014,REG-22",정의된 핵심 변경 시나리오와 지급기준 버전·귀속·배부정책 변경의 감사로그 기록률이 100%이고 일반 사용자가 수정·삭제할 수 없다.,핵심 변경이 일어날 때마다 자동(실시간).,공통 서비스 또는 AOP(공통 기능을 한 곳에 모아 자동으로 끼워 넣는 스프링 기법)로 INSERT 전용 로그 테이블에 기록.,v2.2.1: REG-22 지급기준·귀속 변경 감사대상 추가
